age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
Middle-Aged,Private,HS-grad,Never-married,Craft-repair,Unmarried,Black,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,Full-time,United-States,large
Middle-Aged,Self-emp-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Black,Male,None,None,Workaholic,United-States,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Tech-support,Wife,White,Female,None,None,Full-time,United-States,small
Old,Self-emp-inc,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,None,None,Over-time,United-States,small
Senior,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,Some-college,Divorced,Sales,Not-in-family,White,Female,Low,None,Over-time,United-States,small
Young,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Full-time,United-States,large
Middle-Aged,Private,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,None,None,Part-time,United-States,small
Middle-Aged,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Female,None,None,Over-time,United-States,small
Young,Private,Some-college,Never-married,Protective-serv,Not-in-family,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,Preschool,Never-married,Machine-op-inspct,Not-in-family,Black,Male,None,None,Full-time,Puerto-Rico,small
Senior,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Local-gov,HS-grad,Separated,Transport-moving,Own-child,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,None,None,Full-time,United-States,small
Senior,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,None,None,Over-time,United-States,small
Senior,Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,None,None,Full-time,United-States,small
Senior,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,None,None,Over-time,United-States,small
Middle-Aged,Local-gov,10th,Never-married,Farming-fishing,Unmarried,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Local-gov,Masters,Divorced,Prof-specialty,Not-in-family,Black,Male,None,None,Full-time,Jamaica,small
Middle-Aged,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,None,None,Workaholic,United-States,small
Middle-Aged,Private,Assoc-acdm,Divorced,Other-service,Unmarried,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Never-married,Craft-repair,Other-relative,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,None,None,Full-time,United-States,small
Young,Private,Bachelors,Married-spouse-absent,Prof-specialty,Own-child,White,Female,None,None,Full-time,United-States,small
Young,Private,HS-grad,Never-married,Priv-house-serv,Unmarried,Other,Female,None,None,Full-time,Guatemala,small
Middle-Aged,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,None,None,Workaholic,India,large
